document,labels
눈썹도 진하고 의외로 의연한게 아주 잘 생겼다.,1
아.. 귀여워.. ㅜ ㅜ,1
얘들 왜 이렇게 귀엽냐..,1
순진한 소년 잉마르.,1
이 영화는 풍경이 무척 아릅답다.,1
나중에 완성된 조각 나오는데 진짜 웃겨.,1
뭥미.. 으하하..,1
난 이 둘의 러브라인이 젤 관심 있었기 때문에 다른 사건도 많지만 일단 얘들 위주로 캡쳐.,1
내가 눈이 썩었기 때문에 이런 것만 좋아하는 거지....,1
웃는 얼굴이 너무 이쁘다.,1
"자식, 멋지구나.",1
은근슬쩍 관심 없는 태도로 뚜벅뚜벅 걸어들어와 두 사람의 므흣한 분위기 다 깨놓고 남의 여자가 붙여놓은 포스터 찢어발기고..(난 애 왜 이렇게 좋냐..ㅋㅋ) 결국 잉마르 손을 이끌고 확 나가버린다.,1
방문했던 홈피 주인이 사가 팬이라 현재 모습도 올려놨는데 지금은 평범한 아줌마 같다.,2
아니.. 아무튼 둘 다 너무 이쁘다구요.,1
개봉 전에 평이 엇갈려서 보러갈까 말까 망설였는데 요즘 딱히 볼 영화도 없고 그냥 화제작이라는 건 늘 개봉 첫날 구미가 바싹 당기는 법이니까 다녀왔다.,0
이 정도의 인원이 목요일에 다녀갈 정도면 파급력은 확실할 거 같다.,1
애초에 기대를 반쯤 접고 봐서 그런지 나쁘지는 않았는데 사실은 좀 흐음.. 했다.,0
스토리 라인이 너무 빈약하더군.,2
물론 후반부의 추격씬이랄까 싸우는 광경은 꽤 잘 찍었다.,1
이런 장르가 한국영화에는 없었기 때문에 더욱 실감나기도 하고..,1
송강호의 `이상한 놈`이 주인공 같은데 평소 캐릭터를 십분 살려서 곳곳에 유머를 배치하려고 애쓴 것도 보이고 물론 나도 몇 번 웃긴 했는데 그냥 피식 정도..,0
어떤 건 너무 의도적으로 웃기려고 한 대사라 전혀 우습지가 않았다.,2
강철중 같은 대사발을 기대하면 필시 실망할 듯..,1
그래서 재미없다는 건 아니고 액션이 괜찮았기 때문에 중박 정도라고 생각한다.,1
그래서 재미없다는 건 아니고 액션이 괜찮았기 때문에 중박 정도라고 생각한다.,0
이병헌과 정우성의 캐릭터는 그야말로 딱 중간 정도..,0
확실히 송강호가 왜 맨 첫번째로 이름이 나왔는지 알 거 같았다.,1
그 중간이라는 게 아쉬운 거지..,2
칭찬하고 싶은 건 영화 음악.,1
말 달리면서 뿌연 모래 바람이 일 때 따라란딴 딴딴~ 꽤 호쾌한 느낌을 줬다.,1
총소리도 실감나고..,1
디테일은 확실히 훌륭했다.,1
미술적인 면도 나쁘지 않았어.,0
다만 그 난리를 치고 다니는데 정우성의 셔츠가 너무 깨끗하고 잘 다려져 있는 게 보여서 약간 거슬렸을 뿐. ㅋㅋ,2
아.. 근데 왜 원티드 한 번 더 보고 싶지? -_;,1
한번 교환했는데 새로 온 UD20은 불량화소가 있고 ㅜ ㅜ ㅜ,2
전에 작동 안되었던 자막 검색 후 등록 기능이 똑같이 작동 안 된다!!!,2
왜 [등록]키를 만들어놓고 제대로 단어장에 등록이 되지 않는 거냐!!,2
다른 부가 기능은 참 훌륭한데..,1
미치겠네.,2
아.. 진짜 기계 사겠나.,2
왜 완벽한 기계가 점점 사라지는 거지..,2
V10도 불량이었고..,2
이번에는 사전까지..,2
역시 대기업 제품이 아니라서? ㅜ ㅜ,2
뽑기를 잘 해야 한다는 말도 있지만 뽑기는 말 그대로 운이잖아.,2
나원참..,2
이런 젠장..,2
동영상 재생하면서 자막 중 모르는 내용 있으면 터치해서 바로 검색하는 기능 때문에 산 건데 이게 에러다..,2
어제 샀는데 오늘 안 되더군.,2
아까 한 번 잠깐 되더니 지금 또 등록 버튼이 먹통이다.,1
30만원 쥐어주고 산 건데 벌써 이러면 무진장 곤란하다.,2
등록했다가 암기장으로 옮겨가면 굉장히 편리한 기능이라 포기할 수 없다.,1
기계건으로 전화하는 거 싫어..,2
왜 제대로 된 걸 손에 넣기가 이렇게 힘이 들까.,2
전에 샀던 V10도 정상이 아닌 게 왔었고..,2
미치겠네.,2
진짜 인터넷숍에서 반품 받은 걸 파는 건 아니겠지??,2
그렇다고 백화점에서 똑같은 걸 5만원 더 주고 사기도 싫고.,2
전자사전 기능은 훌륭한데 이런 게 고장이 없어야지.. ㅜ ㅜ ㅜ ㅜ ㅜ,0
기능이 너무 많아서 하루 안에 다 뒤져보지도 못했네.,2
"만화책 보는 건 오케이, 녹음도 잘 되고..",1
"만화책 보는 건 오케이, 녹음도 잘 되고..",1
쓰든 안 쓰든 고장난 상품을 쓰고 있다가 나중에 반품 시기도 놓치면 진짜 열받을 것임.,2
니미랄.. 나 바쁘단 말야!!!,2
음.. 확실히 시간 가는 줄 모르게 재밌더군.,1
다만 끝에서 여형사의 행동은 이해가 가지 않았다.,2
걔가 안에서 무슨 짓을 하는 줄 알고 가게문까지 닫아놓고 한참을 들어가서 안 나오는데 여자 혼자 두근두근 따라가서 땡볕에 졸고 있는 것도 아니고 상식적으로 이해가 안 갔다.,2
마지막까지 어떻게든 해피엔딩을 원했지만 실제 유영철 사건이 그랬듯 잔인하더군.,2
"추격자에게는 심리학자가 등장, 그에게 성불구가 아니냐고 자극하는 말을 하는데 진짜 이유를 모르겠다.",2
영화를 보다보니 화가 났다.,2
절대선이 아니더라도 저 정도의 절대악을 마주치면 엄청난 분노를 느낄 거 같다.,2
주인공인 헤이든 크리스텐슨은 잘생기긴 했지만 어딘가 좀 흔한 얼굴이란 느낌이 든다.,0
어떻게 보면 몸도 요즘 유행하는 정석같은 체격이라..,2
"처음엔 흠.. 하면서 보긴 했는데 마지막에 여자친구 손을 잡으며(아무것도 아닌 듯, 약간은 껄렁하고 심드렁하게)어디 가고 싶어? 할 때는 마음에 들더군. ㅋㅋ",1
가진 자의 여유라고 할까.,1
좋겠어!!,1
영화는 예상대로의 내용 전개였고 기대치가 낮아서인지 재밌게 봤다.,0
싸우는 게 많아서 지루할 틈도 없고 여자주인공은 못 생겼지만(헉.. 미안해요) 남자는 가끔 시크한 표정이 마음에 들었어.,1
싸우는 게 많아서 지루할 틈도 없고 여자주인공은 못 생겼지만(헉.. 미안해요) 남자는 가끔 시크한 표정이 마음에 들었어.,2
싸우는 게 많아서 지루할 틈도 없고 여자주인공은 못 생겼지만(헉.. 미안해요) 남자는 가끔 시크한 표정이 마음에 들었어.,1
게다가 날씨가 좋지 않고 막 싸우는 와중에도 코트에 머플러를 걸치는 센스를 발휘.,1
"한 번 봐서는 곧 잊혀질 거 같은, 적당히 잘 생겼지만 임팩트 없는 얼굴 때문일까. 후후후..",0
구정이라고 방화를 해줘서 오랜만에 재밌게 봤다.,1
이경규 감독으로 더 유명세를 탔었고 뭐 개봉당시에는 전혀 관심이 없었다.,1
이경규 감독으로 더 유명세를 탔었고 뭐 개봉당시에는 전혀 관심이 없었다.,2
오늘도 우연히 채널을 이리저리 돌리다가 보게 되었는데 이게 꽤 재밌는 거다!! -_-;;,1
차태현은 결혼 전에는 별로 안 좋아했는데 고교 동창이랑 결혼하다니 의외로 순정파였던 게 나름 플러스로 작용해서 이미지가 좋아졌다.,0
목소리도 꽤 착착 감기고.,1
특히 이 목소리.. 정말 뽕필에 딱이었던 것이야!,1
그 노래도 어딘가 뽕필이 섞였었는데 복면달호의 ost `이차선 다리`는 거의 죽음이 아닌가~,1
그 애절함..,1
가사도 느무 슬픈 거라.,1
바로 이거다.,1
"아, 들을수록 느무 좋다. -_-;;",1
락버젼도 있지만 역시 트롯버젼의 애절함은 따라갈 수 없지.,1
영화 속에서 가요대상 장면이 나오는데 거기서 입고 나온 의상도 너무 취향이다..,1
아.. 요새 뽕필이 너무 좋아.,1
조니 뎁 영화라면 일단은 보는 고로,1
(그 지겨운 캐러비안의 해적3도 봤다),2
영화잡지에서 언뜻 뮤지컬 영화라는 소릴 읽었는데 그새 까먹고 조니가 초반부터 노래를 시작하자 약간 당황.,2
영화는 내가 기대한 만큼 잔혹하고 분노에 넘쳤다.,1
나 이런 분노 이해해.,1
악역인 판사조차 목소리가 너무 그럴싸한 거 아닌가.,1
왕창 늙긴 했지만 다리도 굵고 허벅지도 탄탄하고 금색 쫄바지가 잘 어울렸다.,0
계속 보긴 힘들지만.. ㅋㅋ,2
조니 뎁은 입주변이 정말 이쁘다.,1
여자보다 더 이쁜 거 같다.,1
얇고 다소 신경질적으로 보이는 입술이 매력 포인트.,1
듣기 좋은 목소리로 노래도 잔뜩 불러주고(조니 왈 노래 부르는 건 이게 처음이자 마지막이라네) 원하는대로 화끈하게 다 죽여줬으니 영화 값은 아깝지 않았다.,1
듣기 좋은 목소리로 노래도 잔뜩 불러주고(조니 왈 노래 부르는 건 이게 처음이자 마지막이라네) 원하는대로 화끈하게 다 죽여줬으니 영화 값은 아깝지 않았다.,1
분장도 너무 잘 어울려서 무서울 정도였고..,1
저렇게 다크서클이 어울릴 수가..,1
헤어도 그렇고.,1
가늘가늘한 몸도 너무 좋은 거다. -_-;,1
그냥 그럭저럭 볼만한 영화.,0
그냥 그럭저럭 볼만한 영화다.,0
나쁘진 않다.,0
다만 진지한 내용임에도 불구하고 연출은 좀 장난스럽다.,2
유치함의 극치를 달리는 자막 폰트...,2
영화와 안어울리는 이 어색한 연출들은 정말이지 아니라고 본다.,2
그 연출 자체가 나쁘다기보단 적어도 이 영화와는 전혀 안어울린다는 것이다.,2
게이 아저씨인 안토니오의 징그러운 연기를 제외하면 그다지 웃을만한 장면도 없다.,1
게이 아저씨인 안토니오의 징그러운 연기를 제외하면 그다지 웃을만한 장면도 없다.,2
해피엔딩이긴 하지만 뒷맛이 그다지 좋지는 않다.,2
"귀엽고, 웃기고, 재미있고, 슬프고, 감동적이며 다시 한번 생각하게 만드는 요소도 있는 명작 3D 애니메이션.",1
디즈니에서 나오는 3D 애니메이션은 전부 재미있다.,1
디즈니가 픽사에서 뽑아낸 노하우로 만든 것인지 상당히 잘 만들어진 작품.,1
3D 기술적인 측면에서도 훌륭하고 스토리텔링이나 연출 등 뭐 하나 흠잡을 것 없이 완벽한 애니메이션이다.,1
3D 기술적인 측면에서도 훌륭하고 스토리텔링이나 연출 등 뭐 하나 흠잡을 것 없이 완벽한 애니메이션이다.,1
3D 기술적인 측면에서도 훌륭하고 스토리텔링이나 연출 등 뭐 하나 흠잡을 것 없이 완벽한 애니메이션이다.,1
영화의 후반부는 감동의 클라이막스가 기다리고 있다.,1
"동물의 행동이나 습성, 움직임에 대한 묘사가 훌륭한 애니메이션이다.",1
자기 꼬리를 보고 빙빙 도는 행동이나 당근 장난감을 물고 뒹구는 강아지 시절의 볼트는 귀여움 만점!,1
영화 속과 현실을 혼동하여 수많은 액션을 펼치다 실패하는 볼트의 모습도 코믹하고 박진감 넘친다.,1
미튼스의 고양이스러운 움직임들도 만점.,1
볼트한테 질질 끌려갈 때가 특히 재미있다.,1
"자기들끼리는 대화하지만 그것이 인간에게는 개소리와 고양이소리, 햄스터소리로만 들린다는 점도 재미있다.",1
꿈과 희망이 있고 감동이 있는 좋은 애니메이션이다.,1
처음엔 좀 시끄러웠다.,2
하지만 영화 몰입도가 꽤 높아서인지 애들 수에 비해서는 그다지 시끄럽지 않았다.,1
슬픈 영화는 아니지만 꽤 감동적으로 잘 만든 애니메이션이다.,1
온 가족이 보기에도 최고고 연인끼리 보기에도 최고.,1
친구들끼리 가서 보기에도 최고인 강력추천 애니메이션이다.,1
"덧, asshole과 crazy의 대결은 예상치 못해서 재밌었다.",1
속편이 제작된다면 좀 더 스펙타클한 대결을 기대한다.,1
재밌게도 주인공들은 실제 해당권법의 동물들.,1
해당 권법들의 실제 동물들이 각 권법들을 동물적인 움직임으로 화려하게 보여주는건 꽤나 시각적인 즐거움을 준다.,1
완벽하게 깔끔한 기-승-전-결의 스토리와 최고의 절묘한 연출과 많은 볼거리를 제공하는 영상미.,1
완벽하게 깔끔한 기-승-전-결의 스토리와 최고의 절묘한 연출과 많은 볼거리를 제공하는 영상미.,1
완벽하게 깔끔한 기-승-전-결의 스토리와 최고의 절묘한 연출과 많은 볼거리를 제공하는 영상미.,1
그야말로 완벽한 애니메이션이다.,1
"오프닝의 현란한 2D 애니메이션, 본편의 영상미가 돋보이는 3D 애니메이션, 엔딩 크레딧 시의 2D 영상을 보면 어떤 장면이던지 멋진 장면.",1
"오프닝의 현란한 2D 애니메이션, 본편의 영상미가 돋보이는 3D 애니메이션, 엔딩 크레딧 시의 2D 영상을 보면 어떤 장면이던지 멋진 장면.",1
"오프닝의 현란한 2D 애니메이션, 본편의 영상미가 돋보이는 3D 애니메이션, 엔딩 크레딧 시의 2D 영상을 보면 어떤 장면이던지 멋진 장면.",1
"배경 하나하나와 구도, 카메라 앵글 또한 예술이다.",1
엔딩곡은 70년대 팝이자 코나미게임 DDR로 유명한 `Kung Fu Fighting`.,1
다른 영화와는 달리 지루하지 않게 감각적이고 재밌는 그림으로 가득한 엔딩크레딧이 다 올라간 뒤 에필로그도 짧게 나온다.,1
대부분의 에필로그와 마찬가지로 그다지 길진 않지만 나름 의미있는 영상이다.,1
물론 한국사람 특유의 성급함으로 인해 극장내에서 이 장면을 본 사람은 몇명 안되었지만 말이다.,2
"스토리는 물론 장면묘사나 위트와 유머, 각종 연출도 베스트.",1
"스토리는 물론 장면묘사나 위트와 유머, 각종 연출도 베스트.",1
"스토리는 물론 장면묘사나 위트와 유머, 각종 연출도 베스트.",1
"스토리는 물론 장면묘사나 위트와 유머, 각종 연출도 베스트.",1
애나 어른할 것 없이 재밌게 볼 수 있게 만든 명작이다.,1
별 다섯개중에 열개를 주고 싶은 작품.,1
"첫장면부터 시작, 끝장면까지 짧은 한장면 한장면이 웃음을 제공해준다.",1
드라마 `히어로즈`의 `히로` 역이었던 마시 오카가 에이전트용 비밀기기 개발자로 등장해서 반가웠다.,1
"영화를 한마디로 말하자면 재밌고, 웃긴다.",1
자연스럽게 웃기기도 하고 억지스럽게 웃기기도 하지만 어쨌든 웃겨준다.,0
기분 안좋을 때 보면 기분이 좋아질 것 같은 영화.,1
"클라이막스, 달리는 차 위에서의 키스씬은 압권이었다.",1
"`옹박`, `똠양꿍` 이후 최고의 무술액션영화.",1
이 영화는 `옹박`이나 국내에서 `옹박2`란 이름으로 개봉한 `똠양꿍`과 마찬가지로 스토리는 지극히 단순하고 특별할 것 없지만 엄청나게 화려한 무술액션들과 영화적인 연출을 통하여 많은 볼거리를 제공해주는 영화이다.,2
이 영화는 `옹박`이나 국내에서 `옹박2`란 이름으로 개봉한 `똠양꿍`과 마찬가지로 스토리는 지극히 단순하고 특별할 것 없지만 엄청나게 화려한 무술액션들과 영화적인 연출을 통하여 많은 볼거리를 제공해주는 영화이다.,1
이 영화는 `옹박`이나 국내에서 `옹박2`란 이름으로 개봉한 `똠양꿍`과 마찬가지로 스토리는 지극히 단순하고 특별할 것 없지만 엄청나게 화려한 무술액션들과 영화적인 연출을 통하여 많은 볼거리를 제공해주는 영화이다.,1
옹박과 똠양꿍에서 토니쟈가 무에타이의 진수를 보여줬다면 도화선에서 견자단은 MMA (Mixed Material Arts)의 진수를 보여준다.,1
"복싱은 물론 팔꿈치와 무릎을 사용한 무에타이, 레슬링, 다양한 관절기를 사용하는 화려하면서도 긴박감 넘치는 무술대결은 화면에서 눈을 떼질 못하게 만든다.",1
`옹박`이나 `똠양꿍`을 재밌게 봤다면 이 영화도 재밌게 볼 수 있을 것이다.,1
올해 최고의 액션영화라고 확신할 수 있다.,1
"그리고 한국, 일본, 태국, 미국의 공포물을 비교해보면 그중 `공포`로 가장 뛰어난 것은 태국의 영화들이었다.",1
`디아이` 역시 참신한 설정과 적시적절한 공포연출로 나름 국내에서 히트했었고 `디아이2`도 나왔었다.,1
주인공 제시카 알바가 좀 더 예쁘고 몸매가 좋다.,1
통상 서양의 센스와 동양의 센스는 좀 달라서 `헐리우드판`이 나오면 영상은 화려하긴 하되 재미는 원작만 못한 경우가 많다.,2
하지만 디아이는 제법 괜찮았다.,1
청각적/시각적 효과가 제법 좋아서 깜짝깜짝 놀라게 하는 영화다.,1
청각적/시각적 효과가 제법 좋아서 깜짝깜짝 놀라게 하는 영화다.,1
특별히 원작보다 못한 면도 없었고 시각적인 면에서는 원작 이상.,1
자고로 공포영화는 커다란 화면과 커다란 소리를 즐길 수 있는 극장에서 봐야만 한다.,1
공포영화 좋아하는 사람이라면 극장가서 `디아이` 볼 것을 추천.,1
영화 자체는 그럭저럭 무난하고 볼만한 편이다.,0
관객들이 기대하는 ``인디아나존스`를 확실히 보여준다.,1
"리얼리티를 강조한 나머지 안타까움과 암울함, 찝찝한 뒷맛을 안겨주는 영화가 많아진 요즈음, 이렇게 상쾌하고 통쾌한 오락영화.",1
그것도 80년대 최고의 오락영화의 정통계보를 잇는 `인디아나존스`가 재등장 한 것은 반가운 일이다.,1
특유의 중절모를 쓰고 채찍을 무기로 쓰며 강력한 병사들을 맨주먹으로 때려눕힐 수 있는 수퍼히어로 `인디아나존스`는 죽지 않았다.,1
한명은 여자를 속여 돈을 잔뜩 뜯어냈으면서도 도박으로 전재산을 탕진하고 빚더미에 시달리면서 또 다른 여자의 돈을 뜯어내려 발악하는 더러운 인생.,2
한명은 마음에 드는 여자가 생긴 뒤 동거하며 행복하게 살다가 의처증이 생겨 별의 별 짓을 다하다가 결국엔 살인까지 저지르는 인생.,2
홍보문구처럼 `화려한` 면은 나오지 않고 명품으로 치장했지만 폭력과 섹스만이 넘치는 구질구질하고 더러운 인생만 잔뜩 보여준다.,2
이건 뭐 내용도 없고 감동도 없고 화려함도 없고 재미도 없고...,2
이건 뭐 내용도 없고 감동도 없고 화려함도 없고 재미도 없고...,2
이건 뭐 내용도 없고 감동도 없고 화려함도 없고 재미도 없고...,2
배우가 좋아서 보러간 여자 관객들조차 다들 욕하면서 나왔다.,2
절대 보지 말 것을 권유한다.,2
영화 보고 나온 뒤 기분만 더러워지는 올해 최악의 영화.,2
크게 기대하지 않고 본 영화지만 정말 재밌게 봤다.,0
"사전정보 없이 광고영상만 한번 봤는데 딸이 납치되는 순간 딸과 통화하는 아버지, 그리고 범인을 향해 브라이언이 하는 말이 꽤나 인상깊어 보게 되었다.",1
"전형성 탈피를 추구한 나머지 밑도 끝도 없이 잔인하게만 만드는 것보다는 해피엔딩을 기대하며 주인공의 고생을 지켜볼 수 있는 이런 전형성, 이런 영화다움은 좋지 않나 싶다.",1
이런식으로 `영화다운` 재미는 즐거움 그 자체다.,1
"잘 만들어졌고 재미있게 볼 수 있는 수작 영화, 쉬지 않고 진행되는 짜임새 있는 장면의 연속에 스크린에서 눈을 뗄 수 없는 영화이다.",1
"잘 만들어졌고 재미있게 볼 수 있는 수작 영화, 쉬지 않고 진행되는 짜임새 있는 장면의 연속에 스크린에서 눈을 뗄 수 없는 영화이다.",1
이 영화는 상황에 대한 연출이 임펙트가 적은 편이다.,2
수술 중 각성해 있는데도 불구하고 주인공의 말은 어메리칸조크가 느껴지게 여유롭고 코믹한 편이다.,1
영화에선 반전이 몇번 나오지만 그렇게 놀랍지는 않다.,0
"영화의 흐름은 잔잔하면서도 평이하게 흘러가고 숨겨진 음모가 드러나는 것도 자연스럽게, 관객들이 이해하기 쉽게끔 흘러간다.",1
"영화의 흐름은 잔잔하면서도 평이하게 흘러가고 숨겨진 음모가 드러나는 것도 자연스럽게, 관객들이 이해하기 쉽게끔 흘러간다.",1
친절한 영화라고 할까.,1
굉장히 `평범`한 영화.,0
그냥 볼만하긴 하지만 추천하긴 부족.,0
원작 소설은 못봤지만 스토리텔링이 좋다.,1
"연출이나 각본, 음악 자체도 흠잡을 곳 없다.",1
"연출이나 각본, 음악 자체도 흠잡을 곳 없다.",1
"연출이나 각본, 음악 자체도 흠잡을 곳 없다.",1
오랫만에 `좋은 영화`라고 말할 수 있는 작품.,1
"문제는 이런식으로 원작의 인기를 이용하여 억지로 만든 추가스토리가 다 그렇듯, 완성도가 형편없이 떨어진다는 점.",2
영화판 데스노트는 주인공 라이토 배역이 미스캐스팅인 것을 빼면 나머지 배역은 그럭저럭 괜찮았고 오리지널로 진행하는 스토리들도 그럭저럭 볼만해서 좋았다.,0
무엇보다도 원작의 결말을 다시한번 뒤집어 L이 승리하는 것이 압권.,1
그러나 이 `L: 새로운 시작`은 딴지 걸 것이 너무 많아서 뭐부터 욕해야할지 모를 정도다.,2
"시나리오, 연출, 각본, 대사 모두 최악이다.",2
"시나리오, 연출, 각본, 대사 모두 최악이다.",2
"시나리오, 연출, 각본, 대사 모두 최악이다.",2
"시나리오, 연출, 각본, 대사 모두 최악이다.",2
전체적인 시놉시스는 그렇지만...애초에 각본부터가 뭔가 문제가 있다.,2
이야기 전개도 그렇지만 캐릭터성도 문제.,2
이야기 전개도 그렇지만 캐릭터성도 문제.,2
L은 괜찮았는데 환경보호단의 연구원 K와 칼들고 설치는 사이코 여자의 성격이나 행동은 뭔가 뒤틀려져 있다.,1
L은 괜찮았는데 환경보호단의 연구원 K와 칼들고 설치는 사이코 여자의 성격이나 행동은 뭔가 뒤틀려져 있다.,2
L은 괜찮았는데 환경보호단의 연구원 K와 칼들고 설치는 사이코 여자의 성격이나 행동은 뭔가 뒤틀려져 있다.,2
처음엔 `환경을 위해 인구수를 줄이자`에서 나중엔 `너죽고 나죽자`로 급변하는 것도 그렇지만 칼들고 설치는 사이코 여자는 대체 어디 배틀로얄에서 빼온 것 같은 살인광이람.,2
처음엔 `환경을 위해 인구수를 줄이자`에서 나중엔 `너죽고 나죽자`로 급변하는 것도 그렇지만 칼들고 설치는 사이코 여자는 대체 어디 배틀로얄에서 빼온 것 같은 살인광이람.,2
영화 분위기와 전혀 안어울리게 따로 놀고 있다.,2
특정상황과 그에 따른 연출이 너무 제멋대로고 어긋나있어서 화가 날 지경.,2
데스노트 영화판은 나름 볼만했다만 이 오리지널 스토리는 최악.,2
돈주고 보면 아까울 정도의 졸작이다.,2
근 몇달간 본 영화 중 찰리윌슨의 전쟁 다음으로 가장 재미없게 본 영화.,2
"다만 L 배역은 좋았고, 여초딩 마키란 소녀의 배역도 좋았다.",1
"다만 L 배역은 좋았고, 여초딩 마키란 소녀의 배역도 좋았다.",1
니아는 노랑곱슬머리의 창백하고 귀여운 백인소년이래야 하는데 뜬금없이 태국초딩이라니...,2
안타까운 일이다.,2
L 배우(마츠야마 켄이치) 좋아하는 사람은 배우의 연기보는 맛으로만 보면 괜찮을런지도.,1
나머진 전부 최악.,2
"암울하던 시기를 무겁지 않고 가볍게, 보기 편하게 표현했다.",1
"그리 많지 않지만 액션도 적절했고 틈틈히 보여주는 위트와 유머, 가끔씩 무거운 주제, 안좋은 상황을 보기 좋게 풀어나가는 과정이 좋았다.",1
"그리 많지 않지만 액션도 적절했고 틈틈히 보여주는 위트와 유머, 가끔씩 무거운 주제, 안좋은 상황을 보기 좋게 풀어나가는 과정이 좋았다.",1
"그리 많지 않지만 액션도 적절했고 틈틈히 보여주는 위트와 유머, 가끔씩 무거운 주제, 안좋은 상황을 보기 좋게 풀어나가는 과정이 좋았다.",1
이야기 진행도 매끄럽고 여러가지 꼬인 갈등이나 상황을 풀어나가는 과정도 깔끔.,1
이야기 진행도 매끄럽고 여러가지 꼬인 갈등이나 상황을 풀어나가는 과정도 깔끔.,1
코믹한 독립군 두명을 보며 한국 영화는 코믹물도 꼭 후반에 갑자기 시리어스해지며 누가 죽어야 하기 때문에 불안불안했으나 예상을 깨고 극적인 상황에서도 웃음을 주고 끝까지 그 분위기를 유지해줬다.,0
이 영화는 가벼운 영화다.,1
이런 상황을 가볍고 센스있게 풀어나간다.,1
오프닝과 엔딩을 장식하는 화려한 공연 장면.,1
주인공의 겉멋 가득한 말과 행동.,2
시대는 1940년대지만 그런 상황을 스타일리쉬하고 센스있게 묘사했다.,1
영화의 참맛이란 이런 비쥬얼과 연출이겠지.,1
영화의 참맛이란 이런 비쥬얼과 연출이겠지.,1
그다지 기대하진 않았지만 솔직하게 `재밌었다`.,1
막 엄청난 대작이라고는 못하겠지만 한국영화 특유의 암적인 부분이 없는 깔끔한 영화다.,0
"스토리텔링, 연출, 액션, 개그 모두 깔끔했다.",1
"스토리텔링, 연출, 액션, 개그 모두 깔끔했다.",1
"스토리텔링, 연출, 액션, 개그 모두 깔끔했다.",1
"스토리텔링, 연출, 액션, 개그 모두 깔끔했다.",1
최근 나온 한국영화들이 대체로 괜찮은 편인데...,1
(현실성 없는 얘기지만 이건 영화니까 하고 넘어가자.),0
때문에 논란 투성이.,2
사실 영화 자체의 컨셉은 비교적 괜찮은 편이었고 (일본만화에서 따온 것이다보니 그럼 그렇지라고 해야하나...) 이야기의 진행도 볼만했다.,0
사실 영화 자체의 컨셉은 비교적 괜찮은 편이었고 (일본만화에서 따온 것이다보니 그럼 그렇지라고 해야하나...) 이야기의 진행도 볼만했다.,0
`조폭`과 `욕설`이 반드시 나오는 한국영화는 질색이긴 하지만 조폭들의 이야기도 아니고 사채업자 밑에 엑스트라 정도로 몇놈 나오는 정도에서 끝나서 다행.,0
하지만 역시 엔딩은 영 마음에 안든다.,2
마무리가 깔끔하지 못하다.,2
지저분하다.,2
맨 마지막 박사의 말을 듣고 한가지 사실을 알 수 있게 되지만 ``그래서 어쩌라고?``라고 반문할 수 밖에 없는 상황.,2
그 뒤에 어떻게 할 것인가? 그래서 어떻게 할 것인데? 그래서 결말은 어떻게 낼 것인데?에 대한 해답은 없다.,2
"원작은 안봐서 모르겠지만 영화판의 반전만 몇번 반복한 뒤 결국 모호하게 끝내 관객들의 끝없는 상상의 나래와 결말 분석, 설전을 유도하는 방식은 비겁하다고나 할까.",2
차라리 배드엔딩이었으면 나았을텐데...,2
